date,max_temperature_f,min_temperature_f,max_visibility_miles,events
04/06/2015,63.0,44.0,10.0,
04/07/2015,61.0,48.0,10.0,Rain
04/08/2015,63.0,47.0,10.0,Rain
04/09/2015,67.0,43.0,10.0,
04/10/2015,66.0,46.0,10.0,
04/11/2015,72.0,47.0,10.0,
04/12/2015,73.0,48.0,10.0,
04/13/2015,62.0,50.0,10.0,
04/14/2015,65.0,48.0,10.0,
04/15/2015,71.0,47.0,10.0,
04/16/2015,81.0,48.0,10.0,
04/17/2015,72.0,48.0,10.0,
04/18/2015,67.0,49.0,10.0,
04/19/2015,63.0,49.0,10.0,
04/20/2015,63.0,53.0,10.0,
04/21/2015,61.0,53.0,10.0,
04/22/2015,66.0,52.0,10.0,
04/23/2015,64.0,52.0,10.0,
04/24/2015,63.0,52.0,10.0,Rain
04/25/2015,63.0,51.0,10.0,Rain
04/26/2015,69.0,47.0,10.0,
04/27/2015,81.0,50.0,10.0,
04/28/2015,63.0,52.0,10.0,
04/29/2015,66.0,51.0,10.0,
04/30/2015,84.0,49.0,10.0,
05/01/2015,76.0,53.0,10.0,
05/02/2015,65.0,52.0,10.0,
05/03/2015,64.0,52.0,10.0,
05/04/2015,59.0,51.0,10.0,
05/05/2015,62.0,51.0,10.0,
05/06/2015,66.0,50.0,10.0,
05/07/2015,67.0,47.0,10.0,Rain
05/08/2015,65.0,46.0,10.0,
05/09/2015,63.0,52.0,10.0,
05/10/2015,62.0,51.0,10.0,
05/11/2015,62.0,52.0,10.0,
05/12/2015,65.0,51.0,10.0,
05/13/2015,63.0,51.0,10.0,
05/14/2015,66.0,53.0,10.0,Rain
05/15/2015,62.0,52.0,10.0,
05/16/2015,61.0,53.0,10.0,
05/17/2015,64.0,54.0,10.0,
05/18/2015,60.0,54.0,10.0,
05/19/2015,63.0,54.0,10.0,
05/20/2015,68.0,54.0,10.0,Rain
05/21/2015,66.0,54.0,10.0,Rain
05/22/2015,62.0,56.0,10.0,
05/23/2015,62.0,53.0,10.0,
05/24/2015,61.0,52.0,10.0,
05/25/2015,63.0,52.0,10.0,
05/26/2015,65.0,53.0,10.0,Rain
05/27/2015,63.0,53.0,10.0,
05/28/2015,63.0,52.0,10.0,
05/29/2015,62.0,52.0,10.0,
05/30/2015,66.0,51.0,10.0,
05/31/2015,65.0,52.0,10.0,
06/01/2015,73.0,57.0,10.0,Rain
06/02/2015,65.0,56.0,10.0,
06/03/2015,65.0,55.0,10.0,
06/04/2015,70.0,53.0,10.0,
06/05/2015,69.0,53.0,10.0,
06/06/2015,71.0,56.0,10.0,
06/07/2015,73.0,56.0,10.0,
06/08/2015,88.0,56.0,10.0,
06/09/2015,77.0,55.0,10.0,
06/10/2015,70.0,58.0,10.0,Fog-Rain
06/11/2015,73.0,57.0,10.0,
06/12/2015,75.0,54.0,10.0,
06/13/2015,72.0,57.0,10.0,
06/14/2015,67.0,55.0,10.0,
06/15/2015,62.0,54.0,10.0,
06/16/2015,68.0,55.0,10.0,
06/17/2015,69.0,53.0,10.0,
06/18/2015,66.0,52.0,10.0,
06/19/2015,71.0,52.0,10.0,
06/20/2015,69.0,52.0,10.0,
06/21/2015,67.0,56.0,10.0,
06/22/2015,64.0,54.0,10.0,
06/23/2015,70.0,53.0,10.0,
06/24/2015,73.0,55.0,10.0,
06/25/2015,79.0,56.0,10.0,
06/26/2015,73.0,58.0,10.0,
